topic,model,history,story,sentence,total_sequentiality,contextual_sequentiality,topic_sequentiality,story_type
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,0,-0.056304931640625,-33.520751953125,-33.0703125,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,0,-0.056671142578125,-77.577392578125,-81.511962890625,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,0,-0.003021240234375,-45.7166748046875,-86.586181640625,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,0,-0.2050933837890625,-37.88755798339844,-64.14453125,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,0,-0.227294921875,-31.6552734375,-56.44921875,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,0,-0.0106201171875,-46.76171875,-65.197265625,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,0,-0.47479248046875,-28.3876953125,-42.38671875,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,0,-0.2068939208984375,-28.895751953125,-61.4765625,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,0,-0.4380645751953125,-22.815185546875,-45.92138671875,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,0,-0.4683685302734375,-38.28662109375,-42.1875,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,1,0.21858723958333334,-27.72854232788086,-71.76253509521484,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,1,0.2504238552517361,-38.635093688964844,-71.618408203125,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,1,0.7568227979871962,-29.83984375,-42.458984375,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,1,0.7112935384114584,-21.4931640625,-50.3828125,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,1,0.7028043535020616,-30.984375,-47.5078125,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,1,0.5948707262674967,-60.529296875,-76.203125,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,1,0.6633466084798177,-22.8375244140625,-31.19329833984375,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,1,0.61426756117079,-38.8212890625,-66.509765625,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,1,0.8165270487467448,-33.55859375,-33.105224609375,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,1,0.6011160744561089,-70.2669677734375,-74.77459716796875,clairvoyant
