topic,model,history,story,sentence,sequentiality,story_type
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,2,1,0,-0.056304931640625,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,2,1,0,-0.056671142578125,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,4,1,0,-0.056304931640625,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,4,1,0,-0.056671142578125,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,6,1,0,-0.056304931640625,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,6,1,0,-0.056671142578125,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,8,1,0,-0.056304931640625,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,8,1,0,-0.056671142578125,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,2,1,0,-0.003021240234375,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,2,1,0,-0.2050933837890625,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,4,1,0,-0.003021240234375,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,4,1,0,-0.2050933837890625,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,6,1,0,-0.003021240234375,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,6,1,0,-0.2050933837890625,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,8,1,0,-0.003021240234375,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,8,1,0,-0.2050933837890625,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,2,1,0,-0.227294921875,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,2,1,0,-0.0106201171875,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,4,1,0,-0.227294921875,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,4,1,0,-0.0106201171875,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,6,1,0,-0.227294921875,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,6,1,0,-0.0106201171875,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,8,1,0,-0.227294921875,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,8,1,0,-0.0106201171875,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,2,1,0,-0.47479248046875,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,2,1,0,-0.2068939208984375,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,4,1,0,-0.47479248046875,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,4,1,0,-0.2068939208984375,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,6,1,0,-0.47479248046875,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,6,1,0,-0.2068939208984375,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,8,1,0,-0.47479248046875,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,8,1,0,-0.2068939208984375,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,2,1,0,-0.4380645751953125,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,2,1,0,-0.4683685302734375,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,4,1,0,-0.4380645751953125,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,4,1,0,-0.4683685302734375,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,6,1,0,-0.4380645751953125,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,6,1,0,-0.4683685302734375,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,8,1,0,-0.4380645751953125,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,8,1,0,-0.4683685302734375,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,2,1,1,0.21858723958333334,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,2,1,1,0.2504238552517361,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,4,1,1,0.21858723958333334,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,4,1,1,0.2504238552517361,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,6,1,1,0.21858723958333334,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,6,1,1,0.2504238552517361,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,8,1,1,0.21858723958333334,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,8,1,1,0.2504238552517361,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,2,1,1,0.7568227979871962,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,2,1,1,0.7112935384114584,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,4,1,1,0.7568227979871962,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,4,1,1,0.7112935384114584,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,6,1,1,0.7568227979871962,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,6,1,1,0.7112935384114584,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,8,1,1,0.7568227979871962,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,8,1,1,0.7112935384114584,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,2,1,1,0.7028043535020616,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,2,1,1,0.5948707262674967,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,4,1,1,0.7028043535020616,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,4,1,1,0.5948707262674967,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,6,1,1,0.7028043535020616,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,6,1,1,0.5948707262674967,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,8,1,1,0.7028043535020616,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,8,1,1,0.5948707262674967,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,2,1,1,0.6633466084798177,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,2,1,1,0.61426756117079,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,4,1,1,0.6633466084798177,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,4,1,1,0.61426756117079,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,6,1,1,0.6633466084798177,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,6,1,1,0.61426756117079,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,8,1,1,0.6633466084798177,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,8,1,1,0.61426756117079,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,2,1,1,0.8165270487467448,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,2,1,1,0.6011160744561089,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,4,1,1,0.8165270487467448,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,4,1,1,0.6011160744561089,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,6,1,1,0.8165270487467448,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,6,1,1,0.6011160744561089,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,8,1,1,0.8165270487467448,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,8,1,1,0.6011160744561089,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,2,1,2,2.2705281575520835,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,2,1,2,1.7413207160101996,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,4,1,2,2.2705281575520835,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,4,1,2,1.7413207160101996,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,6,1,2,2.2705281575520835,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,6,1,2,1.7413207160101996,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,8,1,2,2.2705281575520835,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,8,1,2,1.7413207160101996,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,2,1,2,1.7825090620252821,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,2,1,2,1.6547929445902507,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,4,1,2,1.7825090620252821,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,4,1,2,1.6547929445902507,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,6,1,2,1.7825090620252821,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,6,1,2,1.6547929445902507,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,8,1,2,1.7825090620252821,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,8,1,2,1.6547929445902507,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,2,1,2,1.4139287736680772,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,2,1,2,1.4824672275119357,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,4,1,2,1.4139287736680772,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,4,1,2,1.4824672275119357,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,6,1,2,1.4139287736680772,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,6,1,2,1.4824672275119357,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,8,1,2,1.4139287736680772,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,8,1,2,1.4824672275119357,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,2,1,2,1.7064926889207628,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,2,1,2,2.028091695573595,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,4,1,2,1.7064926889207628,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,4,1,2,2.028091695573595,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,6,1,2,1.7064926889207628,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,6,1,2,2.028091695573595,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,8,1,2,1.7064926889207628,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,8,1,2,2.028091695573595,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,2,1,2,1.9733887778388128,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,2,1,2,1.6488305462731256,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,4,1,2,1.9733887778388128,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,4,1,2,1.6488305462731256,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,6,1,2,1.9733887778388128,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,6,1,2,1.6488305462731256,clairvoyant
