temperature,topic,source,scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,model_id
0.05,Old friend calls after twenty years of silence.,openai,0.62162915205981,"[0.022279800907258066, 0.633624267578125, 1.083391089188425, 0.5678322531960227, 0.41706829979306176, 0.6547779147907838, 0.441900634765625, 0.9105096632434476, 0.86327844507554]","[-79.869140625, -59.32501220703125, -83.37054824829102, -33.8363037109375, -205.6073455810547, -117.63290405273438, -40.2137451171875, -58.765411376953125, -74.96872329711914]","[-80.559814453125, -78.333740234375, -124.53940963745117, -46.32861328125, -240.64108276367188, -156.26480102539062, -49.0517578125, -86.9912109375, -104.3201904296875]",allenai/OLMo-2-1124-13B
0.05,You find someone’s wallet and recognize the photo inside.,openai,0.7848459445023257,"[0.1084255642361111, 0.16471623265466026, 1.0094869862432065, 0.4441061019897461, 1.1974740346272787, 1.1553076171875, 0.9936301491477273, 1.0541437322443181, 0.5822285970052083, 1.1389404296875]","[-47.033203125, -97.31002044677734, -42.32550048828125, -91.33206176757812, -67.92038345336914, -44.349853515625, -41.04638671875, -30.152099609375, -48.88958740234375, -64.046875]","[-48.98486328125, -104.39281845092773, -65.543701171875, -105.54345703125, -103.8446044921875, -73.2325439453125, -62.90625, -53.34326171875, -66.3564453125, -98.215087890625]",allenai/OLMo-2-1124-13B
0.05,Neighbor asks you to keep a strange secret.,openai,0.5335228675570571,"[0.29296875, 0.4274750585141389, 0.4606597900390625, 0.4072077824519231, 0.4736240931919643, 0.6650925193514142, 0.41144664703853545, 1.032900333404541, 0.6303308340219351]","[-0.265625, -76.84896850585938, -36.92431640625, -59.43017578125, -70.480712890625, -65.9634461402893, -159.14925003051758, -63.36500549316406, -126.27568817138672]","[-0.55859375, -86.68089485168457, -46.13751220703125, -70.017578125, -83.7421875, -84.5860366821289, -185.0703887939453, -96.41781616210938, -167.2471923828125]",allenai/OLMo-2-1124-13B
0.05,You overhear a conversation not meant for you.,openai,0.9967961716862462,"[-0.049262152777777776, 1.8145376841227214, 0.5330403645833334, 1.2661112271822417, 1.0285832331730769, 1.4286625201885517, 0.955900325331577]","[-69.0771484375, -60.5029296875, -110.484619140625, -65.45531463623047, -111.4853515625, -61.810401916503906, -88.80252075195312]","[-67.7470703125, -104.05183410644531, -136.070556640625, -98.37420654296875, -164.9716796875, -98.95562744140625, -129.90623474121094]",allenai/OLMo-2-1124-13B
0.05,Unexpected letter arrives with no return address or name.,openai,0.860315710314355,"[-0.1071624755859375, 0.5778125, 0.482143304286859, 0.6352007426912822, 1.1639559515591325, 2.1609786184210527, 1.0082589285714285, 0.9613381125710228]","[-83.14703369140625, -51.85693359375, -71.6112060546875, -152.6388168334961, -66.44120025634766, -44.74609375, -61.0501708984375, -107.26673889160156]","[-79.93215942382812, -66.30224609375, -90.414794921875, -192.65646362304688, -100.1959228515625, -85.8046875, -96.3392333984375, -160.1403350830078]",allenai/OLMo-2-1124-13B
0.05,A chance meeting changes your entire daily routine.,openai,0.890488050185173,"[0.402160715173792, 0.8227120535714286, 0.8777930850074405, 1.276846469976963, 1.1694104424838363, 1.2951740264892577, 0.9022780198317307, 1.4011320891203705, 0.5303293863932291, 0.7370016163793104, 0.38053064760954486]","[-71.09510803222656, -104.6790771484375, -99.1053466796875, -73.25270080566406, -58.26983642578125, -44.253257751464844, -65.14404296875, -53.7412109375, -66.107177734375, -76.873046875, -66.89281463623047]","[-81.95344734191895, -133.4739990234375, -135.97265625, -123.04971313476562, -92.1827392578125, -70.15673828125, -88.603271484375, -91.57177734375, -78.8350830078125, -98.24609375, -75.64501953125]",allenai/OLMo-2-1124-13B
0.05,You help a stranger and they never say thanks.,openai,0.9644634705001464,"[0.5975089237607759, 1.2804090881347656, 0.7944391424005682, 0.2357448140780131, 1.9531261302806713, 0.9858439127604167, 1.202546861436632, 0.88359375, 0.7995383522727273, 0.9118837298768939]","[-85.72503662109375, -45.81301498413086, -47.365264892578125, -64.45221662521362, -43.552947998046875, -54.7371826171875, -50.91838073730469, -54.265625, -60.13671875, -73.8321533203125]","[-103.05279541015625, -77.8232421875, -73.58175659179688, -70.11009216308594, -96.287353515625, -84.3125, -83.38714599609375, -67.51953125, -77.7265625, -103.92431640625]",allenai/OLMo-2-1124-13B
0.05,Lost phone reveals someone’s hidden double life.,openai,0.7960875144913019,"[0.0028971354166666668, 0.5692138671875, 0.5310384114583333, 0.8564155943253461, 0.9689041940789473, 1.5258289683948865, 0.9913133893694196, 0.9557685852050781, 0.9037737165178571, 0.6557212829589844]","[-76.5078125, -44.669921875, -127.147216796875, -191.02698421478271, -54.8525390625, -33.7950439453125, -39.139678955078125, -40.765655517578125, -95.26025390625, -66.75414657592773]","[-76.5947265625, -53.77734375, -151.0439453125, -249.26324462890625, -73.26171875, -67.36328125, -53.01806640625, -63.7041015625, -126.892333984375, -89.70439147949219]",allenai/OLMo-2-1124-13B
0.05,You see someone you know pretending not to notice.,openai,1.0041341150434724,"[0.2100016945286801, 1.02001953125, 0.9859257450810185, 0.9463019737830529, 2.1094898897058822, 0.73260498046875, 0.98927734375, 0.9346587082435345, 1.28385009765625, 1.1430376838235294, 0.6903076171875]","[-75.68730163574219, -41.46728515625, -68.1907958984375, -87.96371459960938, -52.623046875, -65.4365234375, -84.16650390625, -68.087158203125, -40.925048828125, -48.44140625, -57.34716796875]","[-79.67733383178711, -60.84765625, -94.810791015625, -112.56756591796875, -88.484375, -83.75164794921875, -108.8984375, -95.1922607421875, -66.60205078125, -67.873046875, -76.67578125]",allenai/OLMo-2-1124-13B
0.05,Childhood home is up for sale again.,openai,0.8206229302906735,"[-0.06783470740685096, 0.7328444260817307, 0.7597084045410156, 1.2582864200367647, 0.9820450813539566, 0.597887541118421, 0.9245040600116436, 1.2825520833333333, 1.0602645874023438, 0.6053742439516129, 0.8912200927734375]","[-86.39218139648438, -65.921630859375, -84.6834716796875, -58.47607421875, -72.15990447998047, -71.380859375, -71.39685440063477, -61.138671875, -53.46148681640625, -64.1986083984375, -67.32470703125]","[-84.62847900390625, -84.9755859375, -108.994140625, -101.2578125, -102.60330200195312, -94.1005859375, -95.4339599609375, -91.919921875, -78.9078369140625, -82.9652099609375, -95.84375]",allenai/OLMo-2-1124-13B
0.1,Old friend calls after twenty years of silence.,openai,0.5911773250462088,"[0.048557826450892856, 0.653746574155746, 0.43864596123788874, 0.884805390329072, 0.40021829044117646, 0.7449125092605065, 0.7287336679605337, 0.8297983805338541]","[-68.14453125, -66.04246520996094, -129.93451023101807, -69.39126586914062, -29.014404296875, -116.08828735351562, -103.60616779327393, -53.7420654296875]","[-69.504150390625, -86.30860900878906, -152.3054542541504, -98.58984375, -35.818115234375, -159.293212890625, -141.50031852722168, -73.6572265625]",allenai/OLMo-2-1124-13B
0.1,You find someone’s wallet and recognize the photo inside.,openai,0.779441231913522,"[0.5325634765625, 0.1254340277777778, 0.42498016357421875, 1.0554638671875, 1.0013371220341436, 1.0423619588216146, 1.2576032366071428, 0.3431212410094246, 0.8857985276442307, 1.1257486979166667]","[-76.55352783203125, -76.1640625, -63.629150390625, -39.3961181640625, -65.75039672851562, -24.783767700195312, -50.2398681640625, -155.49505615234375, -71.753662109375, -69.9169921875]","[-89.86761474609375, -79.55078125, -77.228515625, -65.78271484375, -92.7864990234375, -40.41919708251953, -85.4527587890625, -177.1116943359375, -94.784423828125, -103.689453125]",allenai/OLMo-2-1124-13B
0.1,Neighbor asks you to keep a strange secret.,openai,0.8816524324933348,"[0.29296875, 0.5943128797743056, 0.32892481486002606, 0.4546746148003472, 1.076416015625, 3.6345624923706055, 0.9468570709228515, 0.5064415564903846, 0.6708455403645833, 1.1924330393473308, -0.153564453125, 1.0349568684895833]","[-0.265625, -65.9915771484375, -119.53797912597656, -85.39715576171875, -65.5986328125, -12.696937561035156, -36.57478332519531, -74.1552734375, -78.0982666015625, -64.02695846557617, -9.6611328125, -75.7584228515625]","[-0.55859375, -76.689208984375, -135.3263702392578, -101.76544189453125, -87.126953125, -41.7734375, -50.777639389038086, -87.32275390625, -98.2236328125, -92.64535140991211, -9.046875, -106.80712890625]",allenai/OLMo-2-1124-13B
0.1,You overhear a conversation not meant for you.,openai,0.8386641058901615,"[-0.17066491168478262, 1.1508018092105263, 0.6200626454454787, 0.6609290870460304, 0.6946118003443668, 1.0104573567708333, 1.5762109375, 1.1669041224888392]","[-63.76239013671875, -45.546875, -95.78759765625, -91.62545776367188, -132.6825180053711, -85.92041015625, -44.4581298828125, -71.30191040039062]","[-59.83709716796875, -67.412109375, -124.9305419921875, -116.079833984375, -172.275390625, -122.296875, -83.8634033203125, -112.1435546875]",allenai/OLMo-2-1124-13B
0.1,Unexpected letter arrives with no return address or name.,openai,0.7505763326879167,"[0.08580830891927084, 0.4829864501953125, 0.51025390625, 0.5693182359661972, 0.6761180332728794, 1.7200874705468454, 0.7988938041355299, 1.1611444522172978]","[-111.80596923828125, -53.3438720703125, -46.95849609375, -117.2285327911377, -128.887939453125, -67.60821187496185, -83.19430541992188, -75.19710159301758]","[-114.38021850585938, -64.935546875, -59.71484375, -149.67967224121094, -166.75054931640625, -120.93092346191406, -119.94342041015625, -120.48173522949219]",allenai/OLMo-2-1124-13B
0.1,A chance meeting changes your entire daily routine.,openai,0.9483974957491346,"[0.40639406092026653, 0.708348718182794, 0.9756552486096398, 1.1593221028645833, 1.3409423828125, 1.3430334020543981, 0.47135977909482757, 0.960449157617031, 0.6862160011574074, 1.4600875289351851, 0.9205640709918478]","[-83.7905044555664, -78.68394994735718, -137.61968994140625, -68.390625, -75.7330322265625, -51.77838134765625, -42.881103515625, -90.40787935256958, -79.1669921875, -61.52685546875, -62.7193603515625]","[-97.60790252685547, -99.2260627746582, -195.183349609375, -96.21435546875, -122.666015625, -88.040283203125, -56.550537109375, -127.86539649963379, -97.69482421875, -100.94921875, -83.892333984375]",allenai/OLMo-2-1124-13B
0.1,You help a stranger and they never say thanks.,openai,0.9532248223493397,"[0.5975089237607759, 0.6048352471713362, 1.3011991060697115, 0.8738143557593936, 0.922150642641129, 1.0087425595238095, 1.6011555989583333, 0.9995536804199219, 0.7680228097098214, 0.8552652994791666]","[-85.72503662109375, -67.17657470703125, -55.2291259765625, -39.121002197265625, -73.902587890625, -41.517578125, -42.23283386230469, -82.9083251953125, -62.15234375, -85.232421875]","[-103.05279541015625, -84.716796875, -89.060302734375, -57.47110366821289, -102.4892578125, -62.701171875, -80.66056823730469, -114.89404296875, -83.656982421875, -116.02197265625]",allenai/OLMo-2-1124-13B
0.1,Lost phone reveals someone’s hidden double life.,openai,1.1035892968215706,"[0.04126818426724138, 0.47577981387867646, 1.1671875, 0.9279667836315227, 0.9876976013183594, 0.45680898778578816, 1.2017503518324633, 1.2749170852919756, 1.02484130859375, 1.1066796875, 3.4745849609375]","[-73.3486328125, -98.58056640625, -55.7109375, -143.35499954223633, -86.9593505859375, -79.99907302856445, -56.25778675079346, -171.92210388183594, -60.34820556640625, -55.8193359375, -3.3458251953125]","[-74.54541015625, -114.757080078125, -67.3828125, -192.53723907470703, -118.565673828125, -95.53057861328125, -87.5032958984375, -247.1422119140625, -83.9195556640625, -83.486328125, -20.71875]",allenai/OLMo-2-1124-13B
0.1,You see someone you know pretending not to notice.,openai,0.9475867070725015,"[0.04501914978027344, 1.0550858347039473, 0.6772558038884943, 0.8289295543323864, 0.758915167588454, 0.6157383918762207, 0.90244140625, 2.135024642944336, 0.8641183035714286, 1.5933388157894737]","[-65.75370788574219, -40.801025390625, -58.754730224609375, -47.48150634765625, -74.83667182922363, -110.85929107666016, -70.699951171875, -47.33258819580078, -57.380859375, -33.72412109375]","[-66.56405258178711, -60.84765625, -73.65435791015625, -65.71795654296875, -94.56846618652344, -140.41473388671875, -97.773193359375, -90.0330810546875, -81.576171875, -63.99755859375]",allenai/OLMo-2-1124-13B
0.1,Childhood home is up for sale again.,openai,0.6790221282564401,"[-0.043946438148373464, 0.8672705078125, 0.6919586128658719, 1.0382496226917615, 0.7154271443684895, 0.6220722198486328, 0.7215889439438329, 0.6971378326416016, 0.8944723195043104, 0.5859905170357745]","[-168.32462406158447, -44.7108154296875, -80.34294605255127, -59.42791748046875, -67.05220031738281, -83.33953857421875, -68.30420303344727, -96.47686767578125, -53.889404296875, -114.56037783622742]","[-165.6438913345337, -66.392578125, -105.25345611572266, -82.2694091796875, -88.5150146484375, -103.245849609375, -92.11663818359375, -118.7852783203125, -79.8291015625, -141.51594161987305]",allenai/OLMo-2-1124-13B
0.15,Old friend calls after twenty years of silence.,openai,0.6435849219305317,"[-0.010072769657258064, 0.9296003069196429, 0.7659686053240741, 0.25284155065363106, 0.66868896484375, 0.8925645010811942, 0.7412981305803571, 0.9987466118552468, 0.5526283957741477]","[-78.798828125, -67.1466064453125, -63.173828125, -125.19995212554932, -67.92877197265625, -54.26447677612305, -77.00634765625, -50.134355545043945, -136.72634887695312]","[-78.486572265625, -93.1754150390625, -83.85498046875, -139.10623741149902, -91.3328857421875, -79.25628280639648, -97.7626953125, -72.10678100585938, -167.12091064453125]",allenai/OLMo-2-1124-13B
