,scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,topic,model_id,history_length
0,0.9606934396758258,"[-0.009962815504807692, 0.8512483484604779, 0.6942321989271376, 1.360443115234375, 1.561791215624128, 0.692814074064556, 0.5137449322324811, 2.3880851745605467, 0.593844713483538]","[-36.7413330078125, -37.723968505859375, -61.02299118041992, -43.271240234375, -48.73858070373535, -49.0450439453125, -90.0152359008789, -32.69081115722656, -58.028038024902344]","[-36.61181640625, -52.1951904296875, -86.01535034179688, -86.805419921875, -92.46873474121094, -62.20851135253906, -106.96881866455078, -80.4525146484375, -78.81260299682617]",a short story,meta-llama/Llama-3.1-8B-Instruct,1
1,0.7898793623399748,"[0.06896033653846154, 0.6509558359781901, 0.7807521820068359, 0.9499053955078125, 1.1964867001488095, 0.9178466796875, 0.3111572265625, 1.5911083984375, 1.043010457356771, 1.0240923563639324, 0.15439741715140964]","[-35.360595703125, -35.11827850341797, -31.520172119140625, -31.853439331054688, -30.418701171875, -15.6934814453125, -53.400634765625, -46.4920654296875, -17.866104125976562, -36.576568603515625, -250.40441513061523]","[-36.257080078125, -50.74121856689453, -44.01220703125, -46.102020263671875, -55.544921875, -20.28271484375, -57.7568359375, -86.269775390625, -33.511260986328125, -61.15478515625, -268.16011810302734]",a short story,meta-llama/Llama-3.1-8B-Instruct,1
2,0.8583754775887702,"[-0.07128969828287761, 0.9434881210327148, 0.6273166275024414, 0.2257055640220642, 1.0689661362591911, 2.49658203125, 0.5088295569786658, 0.6461472402919423, 1.0817805591382479, 1.0562286376953125]","[-43.504289627075195, -37.48941421508789, -67.48030757904053, -44.7818078994751, -36.77020263671875, -21.85205078125, -46.319114685058594, -55.40174221992493, -28.951834201812744, -27.62286376953125]","[-42.648813247680664, -56.35917663574219, -83.16322326660156, -48.393096923828125, -54.942626953125, -39.328125, -52.93389892578125, -69.61698150634766, -49.50566482543945, -38.185150146484375]",a short story,meta-llama/Llama-3.1-8B-Instruct,1
3,0.4802490708471058,"[-0.059350734803734755, 1.25650634765625, 0.4759368896484375, 0.4015628980553668, 0.30296932567249646, 0.1818576388888889, 0.3110110634251645, 0.3280001553622159, 0.6654595269097222, 0.93853759765625]","[-110.73416137695312, -47.44242858886719, -49.583251953125, -67.39225769042969, -58.24314880371094, -42.72265625, -48.9664306640625, -80.49688720703125, -48.03105926513672, -5.77276611328125]","[-108.30078125, -66.29002380371094, -57.1982421875, -76.62820434570312, -64.90847396850586, -44.359375, -54.875640869140625, -87.712890625, -60.00933074951172, -8.58837890625]",a short story,meta-llama/Llama-3.1-8B-Instruct,1
4,1.066245624322389,"[-0.142578125, 0.6831430288461539, 1.0057567249644885, 0.2953559027777778, 0.7159191313244048, 1.1642669677734374, 1.548828125, 2.173828125, 0.8000267876519097, 0.7126511467827691, 1.5392756991916232, 1.0424015338604267, 1.3854598999023438, 0.5452601909637451, 2.17724609375, 0.729248046875, 0.9683176676432291, 1.4834638742300181, 0.7744140625, 1.0197586059570312, 1.43115234375, 0.8582839965820312, 0.6839192708333334, 1.951904296875, 0.6080133438110351, 0.5013514298659104, 1.7614990234375, 1.91640625, 1.0789337158203125, 1.0250767299107142, 1.1416435241699219, 0.5534439086914062, 0.927734375, 0.863037109375, 1.591845703125, 1.3525390625, 0.6763392857142857, 1.4815521240234375, 1.6881510416666667, 0.5611328125, 0.6111505681818182, 1.416015625, 0.3450520833333333, 0.290802001953125, 0.27727864583333334, 1.5959821428571428, 1.4029947916666667, 1.1306966145833333, 1.8180338541666667, 0.24283854166666666, 0.45610495174632354, 1.404287338256836, 1.2047991071428572, 2.105224609375]","[-32.7109375, -37.201171875, -21.412261962890625, -25.38671875, -53.724029541015625, -15.62042236328125, -24.14453125, -13.0859375, -23.846763610839844, -16.007877349853516, -14.58694839477539, -21.92328643798828, -22.431396484375, -9.734034538269043, -7.775390625, -22.03564453125, -29.8394775390625, -36.674015045166016, -9.27734375, -17.994064331054688, -32.556640625, -37.7041015625, -36.3916015625, -22.7890625, -62.57505416870117, -30.45244026184082, -7.3192138671875, -10.51171875, -34.52691650390625, -10.368408203125, -8.888725280761719, -20.55096435546875, -7.974609375, -55.20703125, -9.552490234375, -35.0078125, -28.671875, -19.1881103515625, -16.05078125, -29.345703125, -40.43359375, -5.607421875, -17.18359375, -25.4246826171875, -46.498291015625, -38.90625, -21.70703125, -34.672119140625, -16.623046875, -18.53515625, -47.2750244140625, -14.155838012695312, -32.29296875, -19.45849609375]","[-31.85546875, -46.08203125, -32.4755859375, -28.044921875, -68.75833129882812, -27.263092041015625, -36.53515625, -21.78125, -31.04700469970703, -22.421737670898438, -28.4404296875, -35.47450637817383, -33.51507568359375, -15.186636447906494, -16.484375, -27.140380859375, -41.45928955078125, -55.95904541015625, -12.375, -28.191650390625, -44.005859375, -51.4366455078125, -42.546875, -34.50048828125, -74.73532104492188, -36.970008850097656, -16.126708984375, -20.09375, -47.47412109375, -17.5439453125, -20.305160522460938, -24.978515625, -11.685546875, -65.5634765625, -17.51171875, -45.828125, -33.40625, -31.04052734375, -31.244140625, -34.95703125, -47.15625, -9.85546875, -19.25390625, -28.914306640625, -50.657470703125, -50.078125, -30.125, -44.848388671875, -27.53125, -19.9921875, -55.02880859375, -25.39013671875, -40.7265625, -32.08984375]",a short story,meta-llama/Llama-3.1-8B-Instruct,1
5,1.12793859889766,"[-0.236328125, 1.4820353190104167, 0.8706245422363281, 1.3636474609375, 0.5186500549316406, 1.3379355982730263, 1.6585271498736214, 0.6695459539240057, 2.4010009765625, 0.8062882856889204, 1.518210018382353, 1.2871673583984375, 0.86083984375, 1.4590232155539773, 2.338099888392857, 1.4843648274739583, 1.2610677083333333, 0.8345424107142857, 1.0559914328835227, 0.9246992631392046, 0.7265846946022727, 0.9584031538529829, 1.1147613525390625, 2.79697265625, 1.7691650390625, 0.640625, 1.083984375, 0.7911265980113636, 0.7022933959960938, 1.2000732421875, 0.9294655539772727, 1.0159866333007812, 0.5905513763427734, 1.29345703125, 1.0796576605902777, 0.5736860795454546, -0.041294642857142856, 1.740234375]","[-31.7470703125, -12.6142578125, -32.57489013671875, -10.5880126953125, -35.25690460205078, -50.2442626953125, -38.33998107910156, -27.06011962890625, -6.890869140625, -24.735076904296875, -45.880859375, -28.7989501953125, -27.765625, -26.05792236328125, -26.32080078125, -14.153350830078125, -7.294921875, -14.681640625, -24.97393798828125, -47.02362060546875, -40.952392578125, -22.504257202148438, -23.19451904296875, -10.74951171875, -28.8408203125, -20.7265625, -17.115234375, -53.495849609375, -24.91424560546875, -29.31005859375, -34.0850830078125, -23.738128662109375, -36.300689697265625, -12.8662109375, -35.6724853515625, -27.32421875, -35.484375, -13.7265625]","[-30.0927734375, -25.95257568359375, -46.5048828125, -17.40625, -44.59260559082031, -75.6650390625, -66.53494262695312, -34.42512512207031, -21.296875, -33.604248046875, -71.6904296875, -41.670623779296875, -36.3740234375, -42.107177734375, -42.6875, -23.059539794921875, -11.078125, -20.5234375, -36.58984375, -57.1953125, -48.94482421875, -33.04669189453125, -35.45689392089844, -24.734375, -42.994140625, -25.2109375, -24.703125, -62.1982421875, -30.5325927734375, -38.91064453125, -44.3092041015625, -38.977928161621094, -45.74951171875, -20.626953125, -45.389404296875, -33.634765625, -35.1953125, -20.6875]",a short story,meta-llama/Llama-3.1-8B-Instruct,1
6,0.9132817582884057,"[-0.0771484375, 0.6501239279042119, 0.8178836822509765, 2.2919464111328125, 0.8049126986799569, 1.850964753524117, 0.43142465444711536, 0.5361463758680556]","[-38.1171875, -43.48866271972656, -76.28120422363281, -30.732940673828125, -46.925148010253906, -38.10017395019531, -75.40380859375, -101.52313232421875]","[-37.5, -58.44151306152344, -108.99655151367188, -71.98797607421875, -70.26761627197266, -80.67236328125, -86.620849609375, -120.82440185546875]",a short story,meta-llama/Llama-3.1-8B-Instruct,1
7,1.083857805459045,"[-0.14946695963541667, 1.650334444912997, 1.0650363498263888, 1.7465277777777777, 0.9253627232142857, 0.4370841979980469, 1.8005630493164062, 1.1840792569247158, 0.6025368826729911, 0.09980604383680555, 1.652587890625, 0.3065185546875, 3.701756795247396, 0.15128226902173914]","[-63.10029602050781, -22.73468780517578, -50.93603515625, -22.837890625, -17.4462890625, -35.29888153076172, -32.829933166503906, -24.166046142578125, -14.58441162109375, -57.9697265625, -6.395263671875, -60.41796875, -10.976959228515625, -83.138671875]","[-58.61628723144531, -40.88836669921875, -70.106689453125, -38.556640625, -23.923828125, -42.29222869873047, -59.83837890625, -37.19091796875, -18.802169799804688, -59.7662353515625, -14.658203125, -65.322265625, -33.1875, -86.6181640625]",a short story,meta-llama/Llama-3.1-8B-Instruct,1
8,0.5689708881133418,"[-0.08770060539245605, 0.4047369905140089, 1.772509765625, 1.1579596478006113, 0.9897979736328125, 0.16469791957310267, 0.2392578125, 0.6657066345214844, 0.3245615076135706, -0.01785098805147059, 1.4608489990234375, -0.246875]","[-42.41338348388672, -42.681557416915894, -21.07177734375, -46.96488952636719, -34.610748291015625, -47.49079895019531, -38.923828125, -50.66484832763672, -50.94593048095703, -47.657470703125, -48.12286376953125, -27.078125]","[-41.01017379760742, -51.9905081987381, -38.796875, -73.59796142578125, -49.45771789550781, -49.79656982421875, -41.31640625, -63.31327438354492, -59.70909118652344, -47.35400390625, -77.33984375, -25.84375]",a short story,meta-llama/Llama-3.1-8B-Instruct,1
9,1.9298814610420454,"[-0.19321441650390625, 3.5202772352430554, 0.6727769639756944, 4.0892578125, 1.5953182644314237, 1.4816261574074074, 1.6882026672363282, 2.6327863994397616, 1.8660695929276316, 5.8796875, 0.881555438041687, 1.9493282318115235, 0.9275621899536678, 1.3519719282786051, 1.0565711975097656, 2.767850319544474, 0.6403573559176537]","[-66.9019775390625, -39.6300048828125, -77.1761474609375, -21.724609375, -58.031097412109375, -96.70703125, -55.82118225097656, -47.00921630859375, -46.9334716796875, -20.0078125, -71.29940414428711, -59.25971221923828, -50.71951353549957, -32.728798151016235, -53.273319244384766, -34.08180046081543, -54.85774230957031]","[-63.810546875, -71.3125, -95.34112548828125, -62.6171875, -86.746826171875, -136.7109375, -89.58523559570312, -97.03215789794922, -82.3887939453125, -49.40625, -92.4567346572876, -98.24627685546875, -76.69125485420227, -53.00837707519531, -74.40474319458008, -100.51020812988281, -74.70882034301758]",a short story,meta-llama/Llama-3.1-8B-Instruct,1
