story_id,language,text
0,arabic,ذات مرة، كان هناك بجعة تعيش في بحيرة كبيرة. كانت الجبعة جميلة جداً، ولكنها كانت أيضاً هشة جداً. في يوم من الأيام، كانت الجبعة تسبح في البحيرة عندما رأت بطة صغيرة عالقة في بعض الأعشاب الضارة. أرادت الجبعة مساعدة البطة الصغيرة، لكنها كانت خائفة من أن تؤذيها لأنها كانت هشة جداً. ففكرت الجبعة في ما يجب القيام به وقررت طلب المساعدة من الحيوانات الأخرى في البحيرة. اجتمعت الحيوانات معاً وعملت على تحرير البطة الصغيرة. عندما كان البط الصغير أخيراً حراً، صفق جميع الحيوانات للجعة لكونها لطيفة جداً ومهتمة. شعرت الجعة بسعادة كبيرة وفخورة بنفسها لمساعدة البط الصغير. تعلمت أنه على الرغم من أنها هشة، فإنها لا تزال قادرة على إحداث فرق كبير في العالم من خلال مساعدة الآخرين.
1,arabic,كان هناك ذات مرة فتاة صغيرة تحب الزهرة. كل يوم، كانت تذهب إلى الحديقة القريبة وتلتقط بعض الزهور التي تنمو هناك. في يوم من الأيام، كانت لديها زهرة خاصة جداً. كانت مختلفة قليلاً عن جميع الزهور الزهرية الأخرى. أرادت أن تحتفظ بهذه الزهرة الزهرية معها دائماً. كانت لديها فكرة! كانت تربط الزهرة الزهرية الخاصة بثوبها. لذلك، كانت الفتاة الصغيرة تربط الزهرة الزهرية الخاصة بعناية بثوبها. كانت الزهرة الزهرية تلمع في ضوء الشمس. أينما ذهبت الفتاة الصغيرة، كانت تأخذ معها الزهرة الزهرية الخاصة بها. حتى أنها كانت لديها اسم خاص له: ديزي!كانت الفتاة الصغيرة سعيدة جداً لأنها تمكنت من ربط ديزي خاصتها بثوبها.كلما سأل الناس عن ذلك، قالت لهم أنه كان ديزي خاصتها.كانت تعرف أنه ليس من الطبيعي أن تكون هناك ديزي متصلة بثوبك، لكنها لم تهتم.كانت تحب ديزي خاصتها ولم تكن لتحتفظ بها بأي طريقة أخرى.
2,arabic,"رأى جون شيئًا أزرقًا على الأرض. ذهب لإلقاء نظرة فاحصة وأدرك أنه كان مغناطيسًا. أعجب به اللون الأزرق واعتقد أنه سيكون لعبة رائعة للتأرجح بها. أخذ جون المغناطيس وبدأ في هزّه في الهواء. فجأة ، سمع والدته تصرخ: ""جون ، توقف! هذا شيء خطير تلعب به!"" وضع جون المغناطيس جانبا ونظر إلى والدته. أراد أن يواصل اللعب بالمغناطيس، لذلك بدأ يلوح به مرة أخرى. فجأة، طار المغناطيس من يده و أصابه في وجهه. بدأ جون في البكاء من الألم."
3,arabic,"ذات مرة كان هناك صديقين - جاك وجيل.كانوا غالباً ما يسيرون على التل ولكن في يوم من الأيام كانت رحلتهم مختلفة. وجاك وجيل صادفوا فرقة موسيقية سيئة كبيرة. كان هناك الكثير من الطبول والصمامة التي كانت عالية جداً! جاك وجيل أرادوا الابتعاد عن الفرقة، لذلك فكرت في خطة. وقالوا لبعضهم البعض، ""دعونا عكس هذا الصوت السيئ"". لذلك فعل جاك وجيل ذلك. ركضوا في الاتجاه الآخر واختفت الضوضاء ببطء. كان جاك وجيل سعداء جداً لكونهم عكسوا صوت الفرقة السيئ. الآن يمكنهم مواصلة الصعود إلى التل دون الضوضاء الصاخبة. النهاية."
4,arabic,"سام وميا توأمان. يحبان اللعب في الخارج، لكن اليوم حار جداً. الشمس مشرقة والهواء لزج. يشعران بالعرق والعطش. ""هل يمكننا الحصول على بعض الآيس كريم، أمي؟"" يسأل سام. يحب آيس كريم الشوكولاته. ""أنا أيضاً، أنا أيضاً!"" تقول ميا. تحب آيس كريم الفراولة. أمي مشغولة في المطبخ. إنها تعد الغداء للعائلة. لا يريدون الانتظار لتناول الغداء. يريدون الآيس كريم الآن. ينظرون إلى بعضهم البعض. لديهم فكرة. يتسللون خارج المنزل. يركضون إلى شاحنة الآيس كريم. يرون السيد لي، رجل الآيس كريم. وهو يبتسم. يحب أن يجعل الأطفال سعداء. ""مرحبا، سام وميا. ماذا يمكنني أن أحضر لك؟"" يسأل السيد لي. سام وميا ننظر إلى القائمة. ""هنا تذهب. هذا سيكون أربعة دولارات، من فضلك، "" يقول السيد لي. سام وميا ينظرون إلى بعضهم البعض. لديهم مشكلة. ليس لديهم أي مال. نسوا أن يجلبوا بنكهم الخنزير. يشعرون بالحرج. لا يعرفون ماذا يفعلون. ينظرون إلى السيد لي. وهو ينتظر. "" أم، نحن آسفون، السيد لي. ليس لدينا أي مال. نسينا، "" تقول ميا. السيد لي ينظر إليهم. يرى وجوههم الحزينة. يشعر بالأسف من أجلهم. كما أنه يتذكر مدى حرارة الجو. يقول، "" لا بأس، سام وميا. أنا أفهم. إنه يوم حار جدا. يمكنك الحصول على الآيس كريم مجاناً. لكن لا تخبر أحداً، حسناً؟ إنه سرنا. ""سام وميا سعداء. يشكران السيد لي. يلعقان آيس كريمهم. إنه بارد وحلو. يشعران بتحسن. ينجحان في أكل آيس كريمهم قبل أن يذوب. يمسحان أفواههما. يلوحان للسيد لي. يركضان إلى المنزل."
5,arabic,"تيم وسام أصدقاء. يحبون اللعب في الحديقة. في يوم من الأيام، يرون حفرة كبيرة في الأرض. إنها بئر. يذهبون بالقرب من البئر وينظرون إلى الداخل. ""واو، إنه مظلم جداً وعميق"" يقول تيم. ""ربما هناك أسماك أو ضفادع هناك"" يقول سام. يسمعون صوتًا من البئر. إنه صوت غريب. يقول: ""مرحباً، يا أولاد. هل تريدون اللعب معي؟"" تيم وسام خائفين. لا يرون أي شخص في البئر. يعتقدون أن الصوت من وحش. ""من أنت؟"" يسأل تيم. ""أنا وحش ودود. أعيش في البئر. أنا وحيد. أريد أن ألعب معك. يمكنني أن أقدم لك الحلوى والألعاب. انزل وانضم إلي، ""يقول الصوت. تيم وسام لا يصدقون الصوت. يعتقدون أن الوحش يكذب. لا يريدون النزول إلى البئر. يريدون الهرب. ""لا ، شكراً لك. لا نريد اللعب معك. أنت غريب ومخيف. سنخبر أمي وأبي ، ""يقول سام. يهربون من البئر. يجدون أمي وأبيهم. يخبروهم عن الصوت في البئر. يأتي رجال الشرطة ويتفقدون البئر. يجدون رجلاً معه مكبر صوت وميكروفون. إنه رجل سيء. أراد خداع الأولاد وإخراجهم. الشرطة تعتقل الرجل وتأخذه. تيم وسام آمنين. هم سعداء."
6,arabic,ذات مرة كان هناك دب مشعر. أراد الدب البقاء في الغابة إلى الأبد، لكنه علم أن ذلك لن يكون ممكنا. في يوم من الأيام، طلب الدب من الغابة إذا كان بإمكانه البقاء، وقالت الغابة نعم، ولكن فقط إذا وعدت بأن تكون مهذبة. وافق الدب، وقالت الغابة أنها ستسمح للدب بالبقاء. لذلك بقي الدب في الغابة، لكنه كان حريصًا على تذكر أن يكون مهذبًا دائمًا. احتفظ بصوته منخفضًا ولم يزعج الحيوانات الأخرى التي تعيش هناك. كل من في الغابة كان سعيدا بوجود الدب الشعري وسرعان ما أصبح جزءا من الأسرة. الدب والغابة عاشوا بسعادة إلى الأبد بعد أن كان الدب دائما مهذبا والغابة دائما يسمح لها بالبقاء!
7,arabic,"في يوم من الأيام ، وجد صبي صغير يدعى تيم وعاءً غامضًا في مطبخه. نظر إلى الداخل ورأى بعض الحساء. أراد تذوقه ، لكن والدته قالت: ""لا ، تيم! لا يمكنك أكل هذا الحساء"". كان تيم حزينًا. لم يفهم لماذا لا يستطيع أكل الحساء. قرر تجاهل والدته وأكل الحساء على أي حال. أخذ ملعقة وتذوق الحساء. كان لذيذًا جدًا. ولكن بعد ذلك ، اكتشفت والدته أن تيم أكل الحساء. لم تكن سعيدة. أخبرت تيم أن الحساء كان لحفلة لاحقة. شعر تيم بالسوء. لقد اعتذر لوالدته و أعدوا المزيد من الحساء معاً للحفلة"
8,arabic,"كان ذات مرة هيكل عظمي يعيش في قرية فقيرة. كان اسمه جيم، وكان يعيش وحيداً في منزله الصغير في زاوية القرية. ذات يوم، تشاجر جيم مع جاره. قال جاره إنه يجب أن يبقى في منزله طوال اليوم ولكن جيم لم يوافق. أراد زيارة الغابة القريبة والحصول على بعض المتعة. كان الجار غير سعيد، لكن جيم لم يهتم. لذلك هرب ليكتشف الغابة. كان لديه وقت رائع، يشاهد الأشجار ويطارد الطيور. وعندما عاد إلى المنزل، رأى جاره يتساءل لماذا كان غبيًا للغاية. ابتسم جيم فقط وقال: ""لقد استمتعت كثيراً!"" هز جاره رأسه وقال: ""لقد أخبرتك أنه ليس آمنًا!"" لكن جيم اختلف."
0,azerbaijani,"Bir vaxtlar Lili adlı kiçik bir qız var idi. Onun Snowball adlı ağ pişiyi var idi. Bir gün Lily və Snowball çöldə oynayırdılar ki, Snowball bir sümük gördü. Onu torpağa basdırmağa başladı. Lili soruşdu: ""Nə edirsən, Qartopu?"" Snoubol miyavladı: ""Mən bu sümüyü basdırıram ki, sonra tapa bilim."" 
 Lili Snoubolun gözünə baxdı və ağ bir şey gördü. Dedi ki, qartopu, sənin gözündə ağ bir şey var. Qartopu miyavladı, ""Həqiqətənmi? Qoy baxım"". Lili yaxından baxdı və bunun sadəcə bir xəz parçası olduğunu gördü. Snowball dedi: ""Uf, gözümdə nəsə olduğunu düşündüm"". 
 Lily və Snowball yağış başlayana qədər çöldə oynamağa davam etdilər. İçəri qaçıb birlikdə qucaqlaşdılar. Lili dedi: ""Mən səni sevirəm, Qartopu"". Snoubol miyavladı: ""Mən də səni sevirəm, Lili"". Və onlar daha çox sərgüzəştlər gözləyərək yuxuya getdilər."
1,azerbaijani,"Bir dəfə tülkü var idi. O, iri qulaqları, tüklü quyruğu və parlaq qara burnu ilə incə və yaraşıqlı idi. Tülkü hər gün naharını günəşli çəmənlikdə yeməkdən həzz alırdı. Sonra bir gün hər şey dəyişdi. 
 Tülkü çəmənliyin o tayından gələn səsi eşitdi. Bunun nə olduğunu görmək üçün hoppandı. Birdən tülkü özünü geniş, açıq bağda gördü. Bağın ortasında böyük bir maşın var idi. 
 Tülkü o qədər maraqlı idi ki, daha yaxından baxmaq qərarına gəldi. Yaxınlaşan kimi o, bir səsin ""Tərs!"" dediyini eşitdi. 
 Tülkü o qədər qorxdu ki, tez bağdan qaçdı. Arxaya baxanda maşın yox idi. Tülkü o qədər rahatladı ki, şansına təşəkkür etdi və çəmənlikdən geriyə atladı. O gündən tülkü getdiyi yerə daha diqqətli oldu. Bir daha belə qorxmaq istəmədi!"
2,azerbaijani,"Tom və Mia dostdurlar. Günəşdə çöldə oynamağı xoşlayırlar. Ancaq bu gün səma boz və böyük buludlar var. Tomun anası deyir ki, tezliklə yağış yağacaq. O, Tom və Miaya xəbərdarlıq edir ki, çölə çıxsalar, çətir götürsünlər. 
 Tom və mia qulaq asmır. Yağışın əyləncəli olduğunu düşünürlər. Çölə qaçıb çətiri evdə qoyub gedirlər. Onlar gölməçələrdə tullanır və bir-birinə sıçrayırlar. Gülürlər və əylənirlər. 
 Ancaq sonra yağış daha da şiddətlənir. Artıq əyləncə deyil. Soyuq və nəmdir. Tom və Mia titrəməyə və ağlamağa başlayır. Evə qayıtmaq istəyirlər. Amma onların çətiri yoxdur. Onlar islanmış və kədərlidirlər. 
 Tomun anası onları pəncərədən görür. O xoşbəxt deyil. O, çətir və dəsmal ilə çölə çıxır. O, Tom və Mianın üstünü çətirlə örtür və onları dəsmala bürür. Onları içəri aparır, isti paltar və şorba verir. 
 O deyir: ""Mən sənə xəbərdarlıq etmişdim ki, çətir götür. Yağış həmişə əyləncəli olmur. Bəzən darıxdırıcı və pis olur. Gələn dəfə məni dinlə və diqqətli ol"". 
 Tom və Mia başlarını yelləyirlər. Onlar peşmandırlar. Onlar Tomun anasını qucaqlayır və təşəkkür edirlər. Onlar dərslərini öyrənirlər. Yağış dayanana qədər oyuncaqları ilə içəridə oynamağa qərar verirlər. Günəşin tezliklə qayıdacağına ümid edirlər."
