topic,model,history,story,sentence,total_sequentiality,contextual_sequentiality,topic_sequentiality
A short story about a famous con man,SakanaAI/TinySwallow-1.5B-Instruct,2,1,0,0.019989013671875,-33.191162109375,-33.35107421875
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,2,1,0,-0.056671142578125,-70.2493896484375,-74.078369140625
A short story about a famous con man,SakanaAI/TinySwallow-1.5B-Instruct,4,1,0,0.019989013671875,-45.178104400634766,-76.46484375
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,4,1,0,-0.056671142578125,-40.85565948486328,-74.203125
A short story about a famous con man,SakanaAI/TinySwallow-1.5B-Instruct,6,1,0,0.019989013671875,-54.482421875,-54.2265625
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,6,1,0,-0.056671142578125,-47.5693359375,-61.9501953125
A short story about a famous con man,SakanaAI/TinySwallow-1.5B-Instruct,8,1,0,0.019989013671875,-31.83203125,-41.1953125
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,8,1,0,-0.056671142578125,-32.4027099609375,-56.7265625
A short story about a famous con man,openai-community/gpt2-xl,2,1,0,-0.152496337890625,-23.7451171875,-42.725830078125
A short story about a famous con man being captured,openai-community/gpt2-xl,2,1,0,-0.2050933837890625,-38.107421875,-40.71875
A short story about a famous con man,openai-community/gpt2-xl,4,1,0,-0.152496337890625,-50.11663818359375,-70.05122375488281
A short story about a famous con man being captured,openai-community/gpt2-xl,4,1,0,-0.2050933837890625,-51.86611557006836,-68.371337890625
A short story about a famous con man,openai-community/gpt2-xl,6,1,0,-0.152496337890625,-33.235107421875,-45.7734375
A short story about a famous con man being captured,openai-community/gpt2-xl,6,1,0,-0.2050933837890625,-24.59765625,-50.37890625
A short story about a famous con man,openai-community/gpt2-xl,8,1,0,-0.152496337890625,-33.27734375,-49.3359375
A short story about a famous con man being captured,openai-community/gpt2-xl,8,1,0,-0.2050933837890625,-66.06640625,-82.2265625
A short story about a famous con man,allenai/OLMo-2-1124-13B,2,1,0,-0.082275390625,-26.795166015625,-33.01507568359375
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,2,1,0,-0.0106201171875,-41.74609375,-72.998046875
A short story about a famous con man,allenai/OLMo-2-1124-13B,4,1,0,-0.082275390625,-33.55859375,-33.105224609375
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,4,1,0,-0.0106201171875,-70.2669677734375,-74.77459716796875
A short story about a famous con man,allenai/OLMo-2-1124-13B,6,1,0,-0.082275390625,-45.673377990722656,-77.01715087890625
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,6,1,0,-0.0106201171875,-40.70294952392578,-71.4765625
A short story about a famous con man,allenai/OLMo-2-1124-13B,8,1,0,-0.082275390625,-55.048828125,-56.23046875
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,8,1,0,-0.0106201171875,-47.541015625,-60.4208984375
A short story about a famous con man,meta-llama/Llama-3.1-8B-Instruct,2,1,0,-0.4105682373046875,-32.099609375,-41.76953125
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,2,1,0,-0.2068939208984375,-31.40625,-53.5078125
A short story about a famous con man,meta-llama/Llama-3.1-8B-Instruct,4,1,0,-0.4105682373046875,-23.013671875,-42.806884765625
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,4,1,0,-0.2068939208984375,-38.328125,-39.39453125
A short story about a famous con man,meta-llama/Llama-3.1-8B-Instruct,6,1,0,-0.4105682373046875,-49.22088623046875,-67.02630615234375
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,6,1,0,-0.2068939208984375,-51.742156982421875,-64.691162109375
A short story about a famous con man,meta-llama/Llama-3.1-8B-Instruct,8,1,0,-0.4105682373046875,-33.820068359375,-44.478515625
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,8,1,0,-0.2068939208984375,-25.984375,-50.16796875
A short story about a famous con man,Qwen/Qwen2.5-7B-Instruct,2,1,0,-0.08292388916015625,-33.25390625,-49.109375
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,2,1,0,-0.4683685302734375,-63.486328125,-78.009765625
A short story about a famous con man,Qwen/Qwen2.5-7B-Instruct,4,1,0,-0.08292388916015625,-25.77545166015625,-31.065185546875
