"topic","model","history","story","sentence","sequentiality","knowledge","topicNumber"
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",2,1,0,0.019989013671875,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",2,1,0,-0.056671142578125,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",4,1,0,0.019989013671875,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",4,1,0,-0.056671142578125,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",6,1,0,0.019989013671875,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",6,1,0,-0.056671142578125,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",8,1,0,0.019989013671875,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",8,1,0,-0.056671142578125,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",2,1,0,-0.152496337890625,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",2,1,0,-0.205093383789062,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",4,1,0,-0.152496337890625,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",4,1,0,-0.205093383789062,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",6,1,0,-0.152496337890625,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",6,1,0,-0.205093383789062,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",8,1,0,-0.152496337890625,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",8,1,0,-0.205093383789062,"clairvoyant",4
"A short story about a famous con man","allenai/OLMo-2-1124-13B",2,1,0,-0.082275390625,"naive",3
"A short story about a famous con man being captured","allenai/OLMo-2-1124-13B",2,1,0,-0.0106201171875,"clairvoyant",4
"A short story about a famous con man","allenai/OLMo-2-1124-13B",4,1,0,-0.082275390625,"naive",3
"A short story about a famous con man being captured","allenai/OLMo-2-1124-13B",4,1,0,-0.0106201171875,"clairvoyant",4
"A short story about a famous con man","allenai/OLMo-2-1124-13B",6,1,0,-0.082275390625,"naive",3
"A short story about a famous con man being captured","allenai/OLMo-2-1124-13B",6,1,0,-0.0106201171875,"clairvoyant",4
"A short story about a famous con man","allenai/OLMo-2-1124-13B",8,1,0,-0.082275390625,"naive",3
"A short story about a famous con man being captured","allenai/OLMo-2-1124-13B",8,1,0,-0.0106201171875,"clairvoyant",4
"A short story about a famous con man","meta-llama/Llama-3.1-8B-Instruct",2,1,0,-0.410568237304688,"naive",3
"A short story about a famous con man being captured","meta-llama/Llama-3.1-8B-Instruct",2,1,0,-0.206893920898438,"clairvoyant",4
"A short story about a famous con man","meta-llama/Llama-3.1-8B-Instruct",4,1,0,-0.410568237304688,"naive",3
"A short story about a famous con man being captured","meta-llama/Llama-3.1-8B-Instruct",4,1,0,-0.206893920898438,"clairvoyant",4
"A short story about a famous con man","meta-llama/Llama-3.1-8B-Instruct",6,1,0,-0.410568237304688,"naive",3
"A short story about a famous con man being captured","meta-llama/Llama-3.1-8B-Instruct",6,1,0,-0.206893920898438,"clairvoyant",4
"A short story about a famous con man","meta-llama/Llama-3.1-8B-Instruct",8,1,0,-0.410568237304688,"naive",3
"A short story about a famous con man being captured","meta-llama/Llama-3.1-8B-Instruct",8,1,0,-0.206893920898438,"clairvoyant",4
"A short story about a famous con man","Qwen/Qwen2.5-7B-Instruct",2,1,0,-0.0829238891601562,"naive",3
"A short story about a famous con man being captured","Qwen/Qwen2.5-7B-Instruct",2,1,0,-0.468368530273438,"clairvoyant",4
"A short story about a famous con man","Qwen/Qwen2.5-7B-Instruct",4,1,0,-0.0829238891601562,"naive",3
"A short story about a famous con man being captured","Qwen/Qwen2.5-7B-Instruct",4,1,0,-0.468368530273438,"clairvoyant",4
"A short story about a famous con man","Qwen/Qwen2.5-7B-Instruct",6,1,0,-0.0829238891601562,"naive",3
"A short story about a famous con man being captured","Qwen/Qwen2.5-7B-Instruct",6,1,0,-0.468368530273438,"clairvoyant",4
"A short story about a famous con man","Qwen/Qwen2.5-7B-Instruct",8,1,0,-0.0829238891601562,"naive",3
"A short story about a famous con man being captured","Qwen/Qwen2.5-7B-Instruct",8,1,0,-0.468368530273438,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",2,1,1,0.212721082899306,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",2,1,1,0.250423855251736,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",4,1,1,0.212721082899306,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",4,1,1,0.250423855251736,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",6,1,1,0.212721082899306,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",6,1,1,0.250423855251736,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",8,1,1,0.212721082899306,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",8,1,1,0.250423855251736,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",2,1,1,0.675536685519748,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",2,1,1,0.711293538411458,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",4,1,1,0.675536685519748,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",4,1,1,0.711293538411458,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",6,1,1,0.675536685519748,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",6,1,1,0.711293538411458,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",8,1,1,0.675536685519748,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",8,1,1,0.711293538411458,"clairvoyant",4
"A short story about a famous con man","allenai/OLMo-2-1124-13B",2,1,1,0.53280946943495,"naive",3
"A short story about a famous con man being captured","allenai/OLMo-2-1124-13B",2,1,1,0.594870726267497,"clairvoyant",4
"A short story about a famous con man","allenai/OLMo-2-1124-13B",4,1,1,0.53280946943495,"naive",3
"A short story about a famous con man being captured","allenai/OLMo-2-1124-13B",4,1,1,0.594870726267497,"clairvoyant",4
"A short story about a famous con man","allenai/OLMo-2-1124-13B",6,1,1,0.53280946943495,"naive",3
"A short story about a famous con man being captured","allenai/OLMo-2-1124-13B",6,1,1,0.594870726267497,"clairvoyant",4
"A short story about a famous con man","allenai/OLMo-2-1124-13B",8,1,1,0.53280946943495,"naive",3
"A short story about a famous con man being captured","allenai/OLMo-2-1124-13B",8,1,1,0.594870726267497,"clairvoyant",4
"A short story about a famous con man","meta-llama/Llama-3.1-8B-Instruct",2,1,1,0.570127911037869,"naive",3
"A short story about a famous con man being captured","meta-llama/Llama-3.1-8B-Instruct",2,1,1,0.61426756117079,"clairvoyant",4
