,topic,model,history,story,sentence,total_sequentiality,contextual_sequentiality,topic_sequentiality,story_type,absolute_sentence_idx,postview_importance,online_importance,Importance_Rater1_PostView,Importance_Rater2_PostView,Importance_Rater3_PostView,Importance_Rater4_PostView,Importance_Rater1_Online,Importance_Rater2_Online,Importance_Rater3_Online,Importance_Rater4_Online,avg_postview_importance,avg_online_importance
0,A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,2,1,0,-0.056304931640625,-33.520751953125,-33.0703125,naive,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
1,A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,2,1,0,-0.056671142578125,-77.577392578125,-81.511962890625,clairvoyant,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
2,A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,4,1,0,-0.056304931640625,-45.7166748046875,-86.586181640625,naive,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
3,A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,4,1,0,-0.056671142578125,-40.500396728515625,-64.14453125,clairvoyant,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
4,A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,6,1,0,-0.056304931640625,-53.23828125,-56.44921875,naive,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
5,A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,6,1,0,-0.056671142578125,-47.2578125,-65.197265625,clairvoyant,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
6,A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,8,1,0,-0.056304931640625,-32.306640625,-42.38671875,naive,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
7,A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,8,1,0,-0.056671142578125,-31.21856689453125,-61.4765625,clairvoyant,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
8,A short story titled 'Catch me if you Can',openai-community/gpt2-xl,2,1,0,-0.003021240234375,-24.2119140625,-45.92138671875,naive,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
9,A short story about a famous con man being captured,openai-community/gpt2-xl,2,1,0,-0.2050933837890625,-38.470703125,-42.1875,clairvoyant,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
10,A short story titled 'Catch me if you Can',openai-community/gpt2-xl,4,1,0,-0.003021240234375,-50.215126037597656,-71.76253509521484,naive,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
11,A short story about a famous con man being captured,openai-community/gpt2-xl,4,1,0,-0.2050933837890625,-52.266117095947266,-71.618408203125,clairvoyant,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
12,A short story titled 'Catch me if you Can',openai-community/gpt2-xl,6,1,0,-0.003021240234375,-32.0537109375,-42.458984375,naive,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
13,A short story about a famous con man being captured,openai-community/gpt2-xl,6,1,0,-0.2050933837890625,-26.657470703125,-50.3828125,clairvoyant,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
14,A short story titled 'Catch me if you Can',openai-community/gpt2-xl,8,1,0,-0.003021240234375,-31.708984375,-47.5078125,naive,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
15,A short story about a famous con man being captured,openai-community/gpt2-xl,8,1,0,-0.2050933837890625,-63.927734375,-76.203125,clairvoyant,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
16,A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,2,1,0,-0.227294921875,-26.406982421875,-31.19329833984375,naive,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
17,A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,2,1,0,-0.0106201171875,-40.6689453125,-66.509765625,clairvoyant,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
