,Unnamed: 0,topic,model,history,story,sentence,total_sequentiality,contextual_sequentiality,topic_sequentiality,story_type,absolute_sentence_idx,postview_importance,online_importance,Importance_Rater1_PostView,Importance_Rater2_PostView,Importance_Rater3_PostView,Importance_Rater4_PostView,Importance_Rater1_Online,Importance_Rater2_Online,Importance_Rater3_Online,Importance_Rater4_Online,avg_postview_importance,avg_online_importance,effect_event,cause_rating_count,cause_event,effect_rating_count
0,0,A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,0,-0.056304931640625,-33.520751953125,-33.0703125,naive,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0,[6],[1],"[4, 17]","[2, 1]"
1,1,A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,0,-0.056671142578125,-77.577392578125,-81.511962890625,clairvoyant,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0,[6],[1],"[4, 17]","[2, 1]"
2,2,A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,0,-0.003021240234375,-45.7166748046875,-86.586181640625,naive,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0,[6],[1],"[4, 17]","[2, 1]"
3,3,A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,0,-0.2050933837890625,-37.88755798339844,-64.14453125,clairvoyant,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0,[6],[1],"[4, 17]","[2, 1]"
4,4,A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,0,-0.227294921875,-31.6552734375,-56.44921875,naive,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0,[6],[1],"[4, 17]","[2, 1]"
5,5,A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,0,-0.0106201171875,-46.76171875,-65.197265625,clairvoyant,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0,[6],[1],"[4, 17]","[2, 1]"
6,6,A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,0,-0.47479248046875,-28.3876953125,-42.38671875,naive,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0,[6],[1],"[4, 17]","[2, 1]"
7,7,A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,0,-0.2068939208984375,-28.895751953125,-61.4765625,clairvoyant,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0,[6],[1],"[4, 17]","[2, 1]"
8,8,A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,0,-0.4380645751953125,-22.815185546875,-45.92138671875,naive,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0,[6],[1],"[4, 17]","[2, 1]"
9,9,A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,0,-0.4683685302734375,-38.28662109375,-42.1875,clairvoyant,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0,[6],[1],"[4, 17]","[2, 1]"
10,10,A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,1,0.2185872395833333,-27.72854232788086,-71.76253509521484,naive,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0,[4],[1],,
11,11,A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,1,0.2504238552517361,-38.63509368896485,-71.618408203125,clairvoyant,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0,[4],[1],,
12,12,A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,1,0.7568227979871962,-29.83984375,-42.458984375,naive,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0,[4],[1],,
13,13,A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,1,0.7112935384114584,-21.4931640625,-50.3828125,clairvoyant,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0,[4],[1],,
14,14,A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,1,0.7028043535020616,-30.984375,-47.5078125,naive,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0,[4],[1],,
15,15,A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,1,0.5948707262674967,-60.529296875,-76.203125,clairvoyant,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0,[4],[1],,
16,16,A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,1,0.6633466084798177,-22.8375244140625,-31.19329833984375,naive,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0,[4],[1],,
17,17,A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,1,0.61426756117079,-38.8212890625,-66.509765625,clairvoyant,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0,[4],[1],,
18,18,A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,1,0.8165270487467448,-33.55859375,-33.105224609375,naive,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0,[4],[1],,
19,19,A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,1,0.6011160744561089,-70.2669677734375,-74.77459716796875,clairvoyant,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0,[4],[1],,
20,20,A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,2,2.2705281575520835,-45.673377990722656,-77.01715087890625,naive,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,,,,
21,21,A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,2,1.7413207160101996,-37.91105651855469,-71.4765625,clairvoyant,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,,,,
22,22,A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,2,1.782509062025282,-30.9423828125,-56.23046875,naive,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,,,,
23,23,A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,2,1.6547929445902507,-47.8662109375,-60.4208984375,clairvoyant,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,,,,
24,24,A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,2,1.4139287736680772,-28.861328125,-41.76953125,naive,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,,,,
25,25,A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,2,1.4824672275119355,-28.397705078125,-53.5078125,clairvoyant,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,,,,
26,26,A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,2,1.7064926889207628,-22.363525390625,-42.806884765625,naive,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,,,,
27,27,A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,2,2.028091695573595,-36.8583984375,-39.39453125,clairvoyant,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,,,,
28,28,A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,2,1.9733887778388128,-27.19460678100586,-67.02630615234375,naive,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,,,,
29,29,A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,2,1.6488305462731256,-38.90982818603515,-64.691162109375,clairvoyant,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,,,,
